=== TOKENS ENCONTRADOS ===

Token                     Lexema               Linea
LESS_T                    less_t               43
INICIO_PARENTESIS         <|                   43
IDENTIFICADOR             j                    43
COMA                      ,                    43
NUMERO_ENTERO             3                    43
FIN_PARENTESIS            |>                   43
FIN_PARENTESIS            |>                   43
DELIMITADOR_EXP           !                    43
IDENTIFICADOR             i                    44
ASIGNACION                <-                   44
IDENTIFICADOR             i                    44
MAS                       +                    44
NUMERO_ENTERO             1                    44
DELIMITADOR_EXP           !                    44
FIN_BLOQUE                :|                   45
WHILE                     while                45
INICIO_PARENTESIS         <|                   45
LESS_T                    less_t               45
INICIO_PARENTESIS         <|                   45
IDENTIFICADOR             i                    45
COMA                      ,                    45
NUMERO_ENTERO             3                    45
FIN_PARENTESIS            |>                   45
FIN_PARENTESIS            |>                   45
DELIMITADOR_EXP           !                    45
INT                       int                  48
SEPARADOR                 ~                    48
IDENTIFICADOR             x                    48
ASIGNACION                <-                   48
NUMERO_ENTERO             5                    48
DELIMITADOR_EXP           !                    48
IF                        if                   49
INICIO_PARENTESIS         <|                   49
GREATER_T                 greather_t           49
INICIO_PARENTESIS         <|                   49
IDENTIFICADOR             x                    49
COMA                      ,                    49
NUMERO_ENTERO             0                    49
FIN_PARENTESIS            |>                   49
FIN_PARENTESIS            |>                   49
INICIO_BLOQUE             |:                   49
SWITCH                    switch               50
SEPARADOR                 ~                    50
INICIO_PARENTESIS         <|                   50
IDENTIFICADOR             x                    50
FIN_PARENTESIS            |>                   50
INICIO_BLOQUE             |:                   50
CASE                      case                 51
SEPARADOR                 ~                    51
NUMERO_ENTERO             5                    51
DOS_PUNTOS                :                    51
IF                        if                   52
INICIO_PARENTESIS         <|                   52
EQUAL                     equal                52
INICIO_PARENTESIS         <|                   52
IDENTIFICADOR             esPar                52
INICIO_PARENTESIS         <|                   52
IDENTIFICADOR             x                    52
FIN_PARENTESIS            |>                   52
COMA                      ,                    52
BOOLEANO                  false                52
FIN_PARENTESIS            |>                   52
FIN_PARENTESIS            |>                   52
INICIO_BLOQUE             |:                   52
COUT                      cout                 53
SEPARADOR                 ~                    53
CADENA                    x es impar           53
DELIMITADOR_EXP           !                    53
FIN_BLOQUE                :|                   54
ELSE                      else                 54
INICIO_BLOQUE             |:                   54
COUT                      cout                 55
SEPARADOR                 ~                    55
CADENA                    x es par             55
DELIMITADOR_EXP           !                    55
FIN_BLOQUE                :|                   56
BREAK                     break                57
DELIMITADOR_EXP           !                    57
DEFAULT                   default              58
DOS_PUNTOS                :                    58
COUT                      cout                 59
SEPARADOR                 ~                    59
CADENA                    x no es 5            59
DELIMITADOR_EXP           !                    59
FIN_BLOQUE                :|                   60
FIN_BLOQUE                :|                   61
BOOL                      bool                 64
SEPARADOR                 ~                    64
IDENTIFICADOR             cond                 64
ASIGNACION                <-                   64
EQUAL                     equal                64
INICIO_PARENTESIS         <|                   64
EQUAL                     equal                64
INICIO_PARENTESIS         <|                   64
GREATER_T                 greather_t           64
INICIO_PARENTESIS         <|                   64
IDENTIFICADOR             x                    64
COMA                      ,                    64
NUMERO_ENTERO             0                    64
FIN_PARENTESIS            |>                   64
COMA                      ,                    64
BOOLEANO                  true                 64
FIN_PARENTESIS            |>                   64
COMA                      ,                    64
EQUAL                     equal                64
INICIO_PARENTESIS         <|                   64
LESS_T                    less_t               64
INICIO_PARENTESIS         <|                   64
IDENTIFICADOR             x                    64
COMA                      ,                    64
NUMERO_ENTERO             10                   64
FIN_PARENTESIS            |>                   64
COMA                      ,                    64
BOOLEANO                  true                 64
FIN_PARENTESIS            |>                   64
FIN_PARENTESIS            |>                   64
DELIMITADOR_EXP           !                    64
INT                       int                  67
SEPARADOR                 ~                    67
IDENTIFICADOR             res                  67
ASIGNACION                <-                   67
IDENTIFICADOR             formula              67
INICIO_PARENTESIS         <|                   67
IDENTIFICADOR             mat                  67
INICIO_INDICE             <<                   67
NUMERO_ENTERO             0                    67
FIN_INDICE                >>                   67
INICIO_INDICE             <<                   67
NUMERO_ENTERO             0                    67
FIN_INDICE                >>                   67
COMA                      ,                    67
IDENTIFICADOR             mat                  67
INICIO_INDICE             <<                   67
NUMERO_ENTERO             0                    67
FIN_INDICE                >>                   67
INICIO_INDICE             <<                   67
NUMERO_ENTERO             1                    67
FIN_INDICE                >>                   67
COMA                      ,                    67
IDENTIFICADOR             mat                  67
INICIO_INDICE             <<                   67
NUMERO_ENTERO             1                    67
FIN_INDICE                >>                   67
INICIO_INDICE             <<                   67
NUMERO_ENTERO             0                    67
FIN_INDICE                >>                   67
COMA                      ,                    67
IDENTIFICADOR             mat                  67
INICIO_INDICE             <<                   67
NUMERO_ENTERO             1                    67
FIN_INDICE                >>                   67
INICIO_INDICE             <<                   67
NUMERO_ENTERO             1                    67
FIN_INDICE                >>                   67
FIN_PARENTESIS            |>                   67
DELIMITADOR_EXP           !                    67
INT                       int                  70
SEPARADOR                 ~                    70
IDENTIFICADOR             k                    70
ASIGNACION                <-                   70
NUMERO_ENTERO             10                   70
DELIMITADOR_EXP           !                    70
DO                        do                   71
INICIO_BLOQUE             |:                   71
IDENTIFICADOR             k                    72
ASIGNACION                <-                   72
IDENTIFICADOR             k                    72
MENOS                     -                    72
NUMERO_ENTERO             1                    72
DELIMITADOR_EXP           !                    72
IF                        if                   73
INICIO_PARENTESIS         <|                   73
EQUAL                     equal                73
INICIO_PARENTESIS         <|                   73
IDENTIFICADOR             k                    73
COMA                      ,                    73
NUMERO_ENTERO             5                    73
FIN_PARENTESIS            |>                   73
FIN_PARENTESIS            |>                   73
INICIO_BLOQUE             |:                   73
BREAK                     break                74
DELIMITADOR_EXP           !                    74
FIN_BLOQUE                :|                   75
FIN_BLOQUE                :|                   76
WHILE                     while                76
INICIO_PARENTESIS         <|                   76
GREATER_T                 greather_t           76
INICIO_PARENTESIS         <|                   76
IDENTIFICADOR             k                    76
COMA                      ,                    76
NUMERO_ENTERO             0                    76
FIN_PARENTESIS            |>                   76
FIN_PARENTESIS            |>                   76
DELIMITADOR_EXP           !                    76
FIN_BLOQUE                :|                   78

=== FIN DEL ANALISIS ===
